rok,kod_teryt,jednostka,przyrost_naturalny_na_1000
2019,030200000000,DOLNOŚLĄSKIE,-2.0
2019,040400000000,KUJAWSKO-POMORSKIE,-1.33
2019,060600000000,LUBELSKIE,-1.77
2019,020800000000,LUBUSKIE,-2.01
2019,071400000000,MAZOWIECKIE,0.35
2019,011200000000,MAŁOPOLSKIE,1.16
2019,031600000000,OPOLSKIE,-2.24
2019,061800000000,PODKARPACKIE,0.27
2019,062000000000,PODLASKIE,-0.98
2019,042200000000,POMORSKIE,1.54
2019,042800000000,WARMIŃSKO-MAZURSKIE,-1.39
2019,023000000000,WIELKOPOLSKIE,0.92
2019,023200000000,ZACHODNIOPOMORSKIE,-2.27
2019,051000000000,ŁÓDZKIE,-3.64
2019,012400000000,ŚLĄSKIE,-2.49
2019,052600000000,ŚWIĘTOKRZYSKIE,-3.45
2019,000000000000,POLSKA,-0.91
