rok,kod_teryt,jednostka,przyrost_naturalny_na_1000
2025,030200000000,DOLNOŚLĄSKIE,-5.12
2025,040400000000,KUJAWSKO-POMORSKIE,-5.65
2025,060600000000,LUBELSKIE,-5.44
2025,020800000000,LUBUSKIE,-5.57
2025,071400000000,MAZOWIECKIE,-2.94
2025,011200000000,MAŁOPOLSKIE,-1.97
2025,031600000000,OPOLSKIE,-5.9
2025,061800000000,PODKARPACKIE,-3.22
2025,062000000000,PODLASKIE,-4.07
2025,042200000000,POMORSKIE,-2.82
2025,042800000000,WARMIŃSKO-MAZURSKIE,-5.29
2025,023000000000,WIELKOPOLSKIE,-3.21
2025,023200000000,ZACHODNIOPOMORSKIE,-6.02
2025,051000000000,ŁÓDZKIE,-6.84
2025,012400000000,ŚLĄSKIE,-6.41
2025,052600000000,ŚWIĘTOKRZYSKIE,-6.75
2025,000000000000,POLSKA,-4.48
