rok,kod_teryt,jednostka,przyrost_naturalny_na_1000
2012,030200000000,DOLNOŚLĄSKIE,-1.1
2012,040400000000,KUJAWSKO-POMORSKIE,0.16
2012,060600000000,LUBELSKIE,-0.62
2012,020800000000,LUBUSKIE,0.74
2012,071400000000,MAZOWIECKIE,0.53
2012,011200000000,MAŁOPOLSKIE,1.35
2012,031600000000,OPOLSKIE,-1.23
2012,061800000000,PODKARPACKIE,1.25
2012,062000000000,PODLASKIE,-0.58
2012,042200000000,POMORSKIE,2.0
2012,042800000000,WARMIŃSKO-MAZURSKIE,0.63
2012,023000000000,WIELKOPOLSKIE,1.82
2012,023200000000,ZACHODNIOPOMORSKIE,-0.31
2012,051000000000,ŁÓDZKIE,-2.97
2012,012400000000,ŚLĄSKIE,-0.97
2012,052600000000,ŚWIĘTOKRZYSKIE,-1.92
2012,000000000000,POLSKA,0.04
