rok,kod_teryt,jednostka,przyrost_naturalny_na_1000
2008,030200000000,DOLNOŚLĄSKIE,-0.21
2008,040400000000,KUJAWSKO-POMORSKIE,1.56
2008,060600000000,LUBELSKIE,-0.19
2008,020800000000,LUBUSKIE,1.76
2008,071400000000,MAZOWIECKIE,1.05
2008,011200000000,MAŁOPOLSKIE,2.18
2008,031600000000,OPOLSKIE,-0.61
2008,061800000000,PODKARPACKIE,1.9
2008,062000000000,PODLASKIE,0.25
2008,042200000000,POMORSKIE,3.55
2008,042800000000,WARMIŃSKO-MAZURSKIE,2.47
2008,023000000000,WIELKOPOLSKIE,2.89
2008,023200000000,ZACHODNIOPOMORSKIE,1.11
2008,051000000000,ŁÓDZKIE,-2.34
2008,012400000000,ŚLĄSKIE,-0.22
2008,052600000000,ŚWIĘTOKRZYSKIE,-0.9
2008,000000000000,POLSKA,0.92
