rok,kod_teryt,jednostka,przyrost_naturalny_na_1000
2015,030200000000,DOLNOŚLĄSKIE,-1.82
2015,040400000000,KUJAWSKO-POMORSKIE,-0.64
2015,060600000000,LUBELSKIE,-1.45
2015,020800000000,LUBUSKIE,-0.72
2015,071400000000,MAZOWIECKIE,0.45
2015,011200000000,MAŁOPOLSKIE,0.99
2015,031600000000,OPOLSKIE,-2.18
2015,061800000000,PODKARPACKIE,0.07
2015,062000000000,PODLASKIE,-1.24
2015,042200000000,POMORSKIE,1.55
2015,042800000000,WARMIŃSKO-MAZURSKIE,-0.51
2015,023000000000,WIELKOPOLSKIE,1.03
2015,023200000000,ZACHODNIOPOMORSKIE,-1.27
2015,051000000000,ŁÓDZKIE,-3.61
2015,012400000000,ŚLĄSKIE,-1.92
2015,052600000000,ŚWIĘTOKRZYSKIE,-3.04
2015,000000000000,POLSKA,-0.67
