rok,kod_teryt,jednostka,przyrost_naturalny_na_1000
2011,030200000000,DOLNOŚLĄSKIE,-0.6
2011,040400000000,KUJAWSKO-POMORSKIE,0.62
2011,060600000000,LUBELSKIE,-0.74
2011,020800000000,LUBUSKIE,0.76
2011,071400000000,MAZOWIECKIE,0.79
2011,011200000000,MAŁOPOLSKIE,1.74
2011,031600000000,OPOLSKIE,-1.02
2011,061800000000,PODKARPACKIE,1.37
2011,062000000000,PODLASKIE,-0.41
2011,042200000000,POMORSKIE,2.51
2011,042800000000,WARMIŃSKO-MAZURSKIE,1.25
2011,023000000000,WIELKOPOLSKIE,2.12
2011,023200000000,ZACHODNIOPOMORSKIE,-0.09
2011,051000000000,ŁÓDZKIE,-2.7
2011,012400000000,ŚLĄSKIE,-0.63
2011,052600000000,ŚWIĘTOKRZYSKIE,-1.66
2011,000000000000,POLSKA,0.34
