rok,kod_teryt,jednostka,przyrost_naturalny_na_1000
2006,030200000000,DOLNOŚLĄSKIE,-0.88
2006,040400000000,KUJAWSKO-POMORSKIE,0.74
2006,060600000000,LUBELSKIE,-0.54
2006,020800000000,LUBUSKIE,1.14
2006,071400000000,MAZOWIECKIE,0.13
2006,011200000000,MAŁOPOLSKIE,1.22
2006,031600000000,OPOLSKIE,-0.92
2006,061800000000,PODKARPACKIE,1.29
2006,062000000000,PODLASKIE,-0.69
2006,042200000000,POMORSKIE,2.5
2006,042800000000,WARMIŃSKO-MAZURSKIE,1.74
2006,023000000000,WIELKOPOLSKIE,1.65
2006,023200000000,ZACHODNIOPOMORSKIE,0.45
2006,051000000000,ŁÓDZKIE,-3.09
2006,012400000000,ŚLĄSKIE,-0.83
2006,052600000000,ŚWIĘTOKRZYSKIE,-1.9
2006,000000000000,POLSKA,0.12
