rok,kod_teryt,jednostka,przyrost_naturalny_na_1000
2009,030200000000,DOLNOŚLĄSKIE,-0.36
2009,040400000000,KUJAWSKO-POMORSKIE,1.29
2009,060600000000,LUBELSKIE,-0.34
2009,020800000000,LUBUSKIE,1.7
2009,071400000000,MAZOWIECKIE,1.0
2009,011200000000,MAŁOPOLSKIE,2.27
2009,031600000000,OPOLSKIE,-0.43
2009,061800000000,PODKARPACKIE,1.75
2009,062000000000,PODLASKIE,0.03
2009,042200000000,POMORSKIE,3.46
2009,042800000000,WARMIŃSKO-MAZURSKIE,2.34
2009,023000000000,WIELKOPOLSKIE,2.71
2009,023200000000,ZACHODNIOPOMORSKIE,0.87
2009,051000000000,ŁÓDZKIE,-2.3
2009,012400000000,ŚLĄSKIE,-0.15
2009,052600000000,ŚWIĘTOKRZYSKIE,-0.83
2009,000000000000,POLSKA,0.86
