rok,kod_teryt,jednostka,przyrost_naturalny_na_1000
2002,030200000000,DOLNOŚLĄSKIE,-1.04
2002,040400000000,KUJAWSKO-POMORSKIE,0.53
2002,060600000000,LUBELSKIE,-0.86
2002,020800000000,LUBUSKIE,0.79
2002,071400000000,MAZOWIECKIE,-0.91
2002,011200000000,MAŁOPOLSKIE,1.4
2002,031600000000,OPOLSKIE,-0.79
2002,061800000000,PODKARPACKIE,1.58
2002,062000000000,PODLASKIE,-0.14
2002,042200000000,POMORSKIE,2.02
2002,042800000000,WARMIŃSKO-MAZURSKIE,1.96
2002,023000000000,WIELKOPOLSKIE,0.79
2002,023200000000,ZACHODNIOPOMORSKIE,0.52
2002,051000000000,ŁÓDZKIE,-3.23
2002,012400000000,ŚLĄSKIE,-1.15
2002,052600000000,ŚWIĘTOKRZYSKIE,-1.3
2002,000000000000,POLSKA,-0.15
