rok,kod_teryt,jednostka,przyrost_naturalny_na_1000
2014,030200000000,DOLNOŚLĄSKIE,-0.94
2014,040400000000,KUJAWSKO-POMORSKIE,0.0
2014,060600000000,LUBELSKIE,-1.06
2014,020800000000,LUBUSKIE,0.16
2014,071400000000,MAZOWIECKIE,0.68
2014,011200000000,MAŁOPOLSKIE,1.43
2014,031600000000,OPOLSKIE,-1.21
2014,061800000000,PODKARPACKIE,0.75
2014,062000000000,PODLASKIE,-0.69
2014,042200000000,POMORSKIE,1.95
2014,042800000000,WARMIŃSKO-MAZURSKIE,0.59
2014,023000000000,WIELKOPOLSKIE,1.71
2014,023200000000,ZACHODNIOPOMORSKIE,-0.44
2014,051000000000,ŁÓDZKIE,-2.8
2014,012400000000,ŚLĄSKIE,-1.11
2014,052600000000,ŚWIĘTOKRZYSKIE,-2.27
2014,000000000000,POLSKA,-0.03
