rok,kod_teryt,jednostka,przyrost_naturalny_na_1000
2023,030200000000,DOLNOŚLĄSKIE,-4.4
2023,040400000000,KUJAWSKO-POMORSKIE,-4.4
2023,060600000000,LUBELSKIE,-4.67
2023,020800000000,LUBUSKIE,-4.34
2023,071400000000,MAZOWIECKIE,-2.35
2023,011200000000,MAŁOPOLSKIE,-1.3
2023,031600000000,OPOLSKIE,-4.73
2023,061800000000,PODKARPACKIE,-2.33
2023,062000000000,PODLASKIE,-3.31
2023,042200000000,POMORSKIE,-1.62
2023,042800000000,WARMIŃSKO-MAZURSKIE,-4.48
2023,023000000000,WIELKOPOLSKIE,-2.18
2023,023200000000,ZACHODNIOPOMORSKIE,-5.04
2023,051000000000,ŁÓDZKIE,-5.9
2023,012400000000,ŚLĄSKIE,-5.56
2023,052600000000,ŚWIĘTOKRZYSKIE,-6.09
2023,000000000000,POLSKA,-3.62
