rok,kod_teryt,jednostka,przyrost_naturalny_na_1000
2003,030200000000,DOLNOŚLĄSKIE,-1.38
2003,040400000000,KUJAWSKO-POMORSKIE,0.43
2003,060600000000,LUBELSKIE,-0.7
2003,020800000000,LUBUSKIE,0.25
2003,071400000000,MAZOWIECKIE,-1.16
2003,011200000000,MAŁOPOLSKIE,0.98
2003,031600000000,OPOLSKIE,-1.23
2003,061800000000,PODKARPACKIE,1.23
2003,062000000000,PODLASKIE,-0.78
2003,042200000000,POMORSKIE,1.98
2003,042800000000,WARMIŃSKO-MAZURSKIE,1.72
2003,023000000000,WIELKOPOLSKIE,0.81
2003,023200000000,ZACHODNIOPOMORSKIE,0.47
2003,051000000000,ŁÓDZKIE,-3.49
2003,012400000000,ŚLĄSKIE,-1.36
2003,052600000000,ŚWIĘTOKRZYSKIE,-1.62
2003,000000000000,POLSKA,-0.37
