rok,kod_teryt,jednostka,przyrost_naturalny_na_1000
2005,030200000000,DOLNOŚLĄSKIE,-1.0
2005,040400000000,KUJAWSKO-POMORSKIE,0.51
2005,060600000000,LUBELSKIE,-0.84
2005,020800000000,LUBUSKIE,0.77
2005,071400000000,MAZOWIECKIE,-0.34
2005,011200000000,MAŁOPOLSKIE,1.08
2005,031600000000,OPOLSKIE,-0.93
2005,061800000000,PODKARPACKIE,1.06
2005,062000000000,PODLASKIE,-0.7
2005,042200000000,POMORSKIE,2.25
2005,042800000000,WARMIŃSKO-MAZURSKIE,1.64
2005,023000000000,WIELKOPOLSKIE,1.51
2005,023200000000,ZACHODNIOPOMORSKIE,0.5
2005,051000000000,ŁÓDZKIE,-3.35
2005,012400000000,ŚLĄSKIE,-1.18
2005,052600000000,ŚWIĘTOKRZYSKIE,-1.65
2005,000000000000,POLSKA,-0.1
