rok,kod_teryt,jednostka,przyrost_naturalny_na_1000
2017,030200000000,DOLNOŚLĄSKIE,-1.25
2017,040400000000,KUJAWSKO-POMORSKIE,-0.17
2017,060600000000,LUBELSKIE,-1.19
2017,020800000000,LUBUSKIE,0.01
2017,071400000000,MAZOWIECKIE,0.86
2017,011200000000,MAŁOPOLSKIE,1.86
2017,031600000000,OPOLSKIE,-1.81
2017,061800000000,PODKARPACKIE,1.22
2017,062000000000,PODLASKIE,-0.4
2017,042200000000,POMORSKIE,2.51
2017,042800000000,WARMIŃSKO-MAZURSKIE,0.08
2017,023000000000,WIELKOPOLSKIE,2.06
2017,023200000000,ZACHODNIOPOMORSKIE,-0.89
2017,051000000000,ŁÓDZKIE,-2.98
2017,012400000000,ŚLĄSKIE,-1.41
2017,052600000000,ŚWIĘTOKRZYSKIE,-2.73
2017,000000000000,POLSKA,-0.02
