rok,kod_teryt,jednostka,przyrost_naturalny_na_1000
2021,030200000000,DOLNOŚLĄSKIE,-5.49
2021,040400000000,KUJAWSKO-POMORSKIE,-5.71
2021,060600000000,LUBELSKIE,-6.82
2021,020800000000,LUBUSKIE,-5.97
2021,071400000000,MAZOWIECKIE,-3.54
2021,011200000000,MAŁOPOLSKIE,-2.17
2021,031600000000,OPOLSKIE,-6.2
2021,061800000000,PODKARPACKIE,-4.1
2021,062000000000,PODLASKIE,-5.74
2021,042200000000,POMORSKIE,-2.01
2021,042800000000,WARMIŃSKO-MAZURSKIE,-6.01
2021,023000000000,WIELKOPOLSKIE,-2.74
2021,023200000000,ZACHODNIOPOMORSKIE,-6.28
2021,051000000000,ŁÓDZKIE,-7.67
2021,012400000000,ŚLĄSKIE,-7.15
2021,052600000000,ŚWIĘTOKRZYSKIE,-8.12
2021,000000000000,POLSKA,-4.95
