rok,kod_teryt,jednostka,przyrost_naturalny_na_1000
2022,030200000000,DOLNOŚLĄSKIE,-4.62
2022,040400000000,KUJAWSKO-POMORSKIE,-4.54
2022,060600000000,LUBELSKIE,-4.78
2022,020800000000,LUBUSKIE,-4.65
2022,071400000000,MAZOWIECKIE,-2.24
2022,011200000000,MAŁOPOLSKIE,-1.42
2022,031600000000,OPOLSKIE,-5.24
2022,061800000000,PODKARPACKIE,-2.46
2022,062000000000,PODLASKIE,-3.76
2022,042200000000,POMORSKIE,-1.89
2022,042800000000,WARMIŃSKO-MAZURSKIE,-4.54
2022,023000000000,WIELKOPOLSKIE,-2.16
2022,023200000000,ZACHODNIOPOMORSKIE,-5.33
2022,051000000000,ŁÓDZKIE,-6.37
2022,012400000000,ŚLĄSKIE,-5.76
2022,052600000000,ŚWIĘTOKRZYSKIE,-6.45
2022,000000000000,POLSKA,-3.79
