rok,kod_teryt,jednostka,przyrost_naturalny_na_1000
2016,030200000000,DOLNOŚLĄSKIE,-1.07
2016,040400000000,KUJAWSKO-POMORSKIE,-0.33
2016,060600000000,LUBELSKIE,-1.23
2016,020800000000,LUBUSKIE,-0.22
2016,071400000000,MAZOWIECKIE,0.88
2016,011200000000,MAŁOPOLSKIE,1.66
2016,031600000000,OPOLSKIE,-1.38
2016,061800000000,PODKARPACKIE,0.54
2016,062000000000,PODLASKIE,-0.76
2016,042200000000,POMORSKIE,2.04
2016,042800000000,WARMIŃSKO-MAZURSKIE,-0.44
2016,023000000000,WIELKOPOLSKIE,1.7
2016,023200000000,ZACHODNIOPOMORSKIE,-0.8
2016,051000000000,ŁÓDZKIE,-2.98
2016,012400000000,ŚLĄSKIE,-1.36
2016,052600000000,ŚWIĘTOKRZYSKIE,-2.66
2016,000000000000,POLSKA,-0.15
