rok,kod_teryt,jednostka,przyrost_naturalny_na_1000
2004,030200000000,DOLNOŚLĄSKIE,-1.21
2004,040400000000,KUJAWSKO-POMORSKIE,0.45
2004,060600000000,LUBELSKIE,-0.91
2004,020800000000,LUBUSKIE,0.92
2004,071400000000,MAZOWIECKIE,-0.57
2004,011200000000,MAŁOPOLSKIE,1.16
2004,031600000000,OPOLSKIE,-0.94
2004,061800000000,PODKARPACKIE,1.22
2004,062000000000,PODLASKIE,-0.86
2004,042200000000,POMORSKIE,2.07
2004,042800000000,WARMIŃSKO-MAZURSKIE,1.56
2004,023000000000,WIELKOPOLSKIE,0.88
2004,023200000000,ZACHODNIOPOMORSKIE,0.4
2004,051000000000,ŁÓDZKIE,-3.08
2004,012400000000,ŚLĄSKIE,-1.16
2004,052600000000,ŚWIĘTOKRZYSKIE,-1.6
2004,000000000000,POLSKA,-0.19
