rok,kod_teryt,jednostka,przyrost_naturalny_na_1000
2013,030200000000,DOLNOŚLĄSKIE,-1.61
2013,040400000000,KUJAWSKO-POMORSKIE,-0.3
2013,060600000000,LUBELSKIE,-1.44
2013,020800000000,LUBUSKIE,-0.3
2013,071400000000,MAZOWIECKIE,0.21
2013,011200000000,MAŁOPOLSKIE,1.2
2013,031600000000,OPOLSKIE,-2.03
2013,061800000000,PODKARPACKIE,0.84
2013,062000000000,PODLASKIE,-1.28
2013,042200000000,POMORSKIE,1.68
2013,042800000000,WARMIŃSKO-MAZURSKIE,-0.21
2013,023000000000,WIELKOPOLSKIE,1.23
2013,023200000000,ZACHODNIOPOMORSKIE,-0.91
2013,051000000000,ŁÓDZKIE,-3.51
2013,012400000000,ŚLĄSKIE,-1.37
2013,052600000000,ŚWIĘTOKRZYSKIE,-2.73
2013,000000000000,POLSKA,-0.46
