rok,kod_teryt,jednostka,przyrost_naturalny_na_1000
2024,030200000000,DOLNOŚLĄSKIE,-4.96
2024,040400000000,KUJAWSKO-POMORSKIE,-4.94
2024,060600000000,LUBELSKIE,-4.91
2024,020800000000,LUBUSKIE,-4.95
2024,071400000000,MAZOWIECKIE,-2.78
2024,011200000000,MAŁOPOLSKIE,-1.82
2024,031600000000,OPOLSKIE,-5.73
2024,061800000000,PODKARPACKIE,-3.12
2024,062000000000,PODLASKIE,-3.92
2024,042200000000,POMORSKIE,-2.47
2024,042800000000,WARMIŃSKO-MAZURSKIE,-4.71
2024,023000000000,WIELKOPOLSKIE,-2.8
2024,023200000000,ZACHODNIOPOMORSKIE,-5.65
2024,051000000000,ŁÓDZKIE,-6.45
2024,012400000000,ŚLĄSKIE,-6.05
2024,052600000000,ŚWIĘTOKRZYSKIE,-6.69
2024,000000000000,POLSKA,-4.17
