rok,kod_teryt,jednostka,przyrost_naturalny_na_1000
2018,030200000000,DOLNOŚLĄSKIE,-1.79
2018,040400000000,KUJAWSKO-POMORSKIE,-1.33
2018,060600000000,LUBELSKIE,-1.69
2018,020800000000,LUBUSKIE,-1.49
2018,071400000000,MAZOWIECKIE,0.33
2018,011200000000,MAŁOPOLSKIE,1.59
2018,031600000000,OPOLSKIE,-2.14
2018,061800000000,PODKARPACKIE,0.89
2018,062000000000,PODLASKIE,-1.0
2018,042200000000,POMORSKIE,1.76
2018,042800000000,WARMIŃSKO-MAZURSKIE,-0.9
2018,023000000000,WIELKOPOLSKIE,1.05
2018,023200000000,ZACHODNIOPOMORSKIE,-1.86
2018,051000000000,ŁÓDZKIE,-3.47
2018,012400000000,ŚLĄSKIE,-2.11
2018,052600000000,ŚWIĘTOKRZYSKIE,-3.13
2018,000000000000,POLSKA,-0.68
