rok,kod_teryt,jednostka,przyrost_naturalny_na_1000
2020,030200000000,DOLNOŚLĄSKIE,-4.07
2020,040400000000,KUJAWSKO-POMORSKIE,-3.65
2020,060600000000,LUBELSKIE,-4.46
2020,020800000000,LUBUSKIE,-4.01
2020,071400000000,MAZOWIECKIE,-1.96
2020,011200000000,MAŁOPOLSKIE,-1.0
2020,031600000000,OPOLSKIE,-4.96
2020,061800000000,PODKARPACKIE,-2.17
2020,062000000000,PODLASKIE,-3.5
2020,042200000000,POMORSKIE,-0.5
2020,042800000000,WARMIŃSKO-MAZURSKIE,-3.34
2020,023000000000,WIELKOPOLSKIE,-1.18
2020,023200000000,ZACHODNIOPOMORSKIE,-4.38
2020,051000000000,ŁÓDZKIE,-6.15
2020,012400000000,ŚLĄSKIE,-4.95
2020,052600000000,ŚWIĘTOKRZYSKIE,-6.49
2020,000000000000,POLSKA,-3.2
