rok,kod_teryt,jednostka,przyrost_naturalny_na_1000
2007,030200000000,DOLNOŚLĄSKIE,-0.77
2007,040400000000,KUJAWSKO-POMORSKIE,0.72
2007,060600000000,LUBELSKIE,-0.7
2007,020800000000,LUBUSKIE,1.33
2007,071400000000,MAZOWIECKIE,0.44
2007,011200000000,MAŁOPOLSKIE,1.42
2007,031600000000,OPOLSKIE,-1.09
2007,061800000000,PODKARPACKIE,1.45
2007,062000000000,PODLASKIE,-0.46
2007,042200000000,POMORSKIE,2.68
2007,042800000000,WARMIŃSKO-MAZURSKIE,1.89
2007,023000000000,WIELKOPOLSKIE,2.1
2007,023200000000,ZACHODNIOPOMORSKIE,0.76
2007,051000000000,ŁÓDZKIE,-3.17
2007,012400000000,ŚLĄSKIE,-0.83
2007,052600000000,ŚWIĘTOKRZYSKIE,-1.35
2007,000000000000,POLSKA,0.28
